Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
A1;ALS-PT19-315C/L177/TR8;XDCR_ALS-PT19-315C_L177_TR8;124.460000;-83.820000;0.000000;top
A2;ALS-PT19-315C/L177/TR8;XDCR_ALS-PT19-315C_L177_TR8;142.240000;-88.900000;0.000000;top
BT1;3.7V;BatteryHolder_Keystone_1042_1x18650;83.820000;-99.060000;90.000000;top
C1;10nF;CAPC1608X90N;122.895000;-97.470000;0.000000;top
C2;100nF;CAPC1608X90N;111.760000;-109.220000;0.000000;top
C3;CL10A475KA8NQNC;CAPC1608X95N;124.020000;-92.870000;0.000000;top
C4;CL10A475KA8NQNC;CAPC1608X95N;180.340000;-78.740000;0.000000;top
C5;100nF;CAPC1608X90N;126.395000;-97.470000;0.000000;top
C6;CL10A475KA8NQNC;CAPC1608X95N;119.380000;-96.520000;0.000000;top
C7;1uF;CAPC1608X90N;127.535000;-92.850000;0.000000;top
C8;1uF;CAPC1608X90N;124.005000;-95.180000;0.000000;top
C9;CL10A105KB8NNNC;CAPC1608X90N;144.780000;-96.520000;0.000000;top
C10;CL10A105KB8NNNC;CAPC1608X90N;142.240000;-86.360000;0.000000;top
C11;CL10A335KP8NNNC;CAPC1608X90N;140.410000;-83.820000;0.000000;top
C12;CL10A335KP8NNNC;CAPC1608X90N;134.620000;-83.820000;0.000000;top
C13;CC0603KRX7R9BB104;CAPC1608X90N;99.060000;-91.440000;90.000000;top
D1;LED;LEDC1608X70N;111.190000;-96.805000;0.000000;top
D2;BAT60J;D_SOD-323;102.575000;-109.300000;180.000000;top
D3;BAT60J;D_SOD-323;115.490000;-96.830000;0.000000;top
FB1;Ferrite_Bead;BEADC1608X95N;106.640000;-101.600000;0.000000;top
IC1;LM358DT;SOIC127P600X175-8N;149.860000;-96.520000;0.000000;top
IC2;LM358DT;SOIC127P600X175-8N;149.860000;-86.360000;90.000000;top
IC3;AT24C256C-SSHL-T;SOIC127P600X175-8N;149.860000;-106.680000;90.000000;top
J1;Conn_01x33_Female;PinHeader_1x33_P2.54mm_Vertical;180.340000;-66.040000;-90.000000;top
J2;Conn_01x33_Female;PinSocket_1x33_P2.54mm_Vertical;180.340000;-76.200000;-90.000000;top
J3;Conn_01x33_Female;PinSocket_1x33_P2.54mm_Vertical;180.340000;-116.840000;-90.000000;top
J4;Conn_01x33_Female;PinHeader_1x33_P2.54mm_Vertical;180.340000;-127.000000;-90.000000;top
J5;47346-0001;47346-0001;177.375000;-96.520000;90.000000;top
J5;USB_B_Micro;MICROXNJ;170.172212;-96.520000;90.000000;top
J6;PZ254V-11-02P;HDRV2W64P0X254_1X2_508X250X873P;160.020000;-104.140000;0.000000;top
J7;PZ254V-11-02P;HDRV2W64P0X254_1X2_508X250X873P;160.020000;-109.220000;0.000000;top
J8;MTP125-1103S1;HDRV3W64P0X254_1X3_762X250X885P;124.460000;-109.220000;0.000000;top
J9;PZ254V-11-02P;HDRV2W64P0X254_1X2_508X250X873P;167.640000;-81.280000;0.000000;top
MCU1;STM32F030C8Tx;LQFP-48_7x7mm_P0.5mm;162.560000;-96.520000;0.000000;top
Q1;IRF9540NPbF;TO254P469X1042X1967-3P;100.330000;-82.550000;0.000000;top
R1;2k;RESC1005X35N;129.820000;-95.070000;0.000000;top
R2;RC0805FR-07470RL;RESC2012X60N;106.680000;-91.440000;0.000000;top
R3;10k;RESC1608X55N;108.035000;-109.350000;0.000000;top
R4;RC0603FR-071KL;RESC1608X55N;119.380000;-86.360000;0.000000;top
R5;RC0603FR-071KL;RESC1608X55N;119.380000;-88.900000;0.000000;top
R6;AC0402FR-07536KL;RESC1005X37N;129.085000;-88.900000;0.000000;top
R7;AC0402FR-07536KL;RESC1005X37N;124.460000;-88.900000;0.000000;top
R8;RC0603FR-071KL;RESC1608X55N;124.460000;-86.360000;0.000000;top
R9;RC0603FR-071KL;RESC1608X55N;129.540000;-86.360000;0.000000;top
R10;RC0603FR-071KL;RESC1608X55N;134.620000;-86.360000;0.000000;top
R11;RC0603FR-071KL;RESC1608X55N;119.380000;-83.820000;0.000000;top
R12;RC0603FR-071KL;RESC1608X55N;120.790000;-103.450000;0.000000;top
R13;RC0603FR-071KL;RESC1608X55N;128.740000;-83.820000;0.000000;top
TP1;5017;5017;180.340000;-86.360000;0.000000;top
TP2;5017;5017;180.340000;-82.550000;0.000000;top
TP3;5017;5017;134.620000;-109.220000;0.000000;top
TP4;5017;5017;157.480000;-87.630000;0.000000;top
TP5;5017;5017;144.780000;-91.440000;0.000000;top
TP8;5017;5017;156.210000;-109.220000;0.000000;top
TP9;5017;5017;156.210000;-105.410000;0.000000;top
U1;MCP73831-2-OT;SOT-23-5;134.620000;-99.060000;0.000000;top
U2;FT232RL;SSOP-28_5.3x10.2mm_P0.65mm;172.720000;-109.220000;90.000000;top
U3;MCP1700-3302E_TO92;TO-92_Inline;139.700000;-106.680000;-90.000000;top
